E,L,M,S,R,H,A,Y
Nuevo Leon,61.98683509,0,6.856808176,1.20000129,7.988239482,0,-11.15238645
Nuevo Leon,35.08618272,0,3.11709318,-0.07203487,16.8791703,0,-2.599256192
Nuevo Leon,60.9032624,1,0.829124242,-0.088323089,9.27831713,0,2.554350543
Nuevo Leon,82.67094309,0,1.522101244,1.584251241,8.869769717,0,-9.555339914
Nuevo Leon,89.868594,0,2.01777597,0.810550675,13.66259199,0,-11.74374645
Nuevo Leon,53.93704372,0,0.580639655,2.062117092,4.240969797,0,2.646633878
Nuevo Leon,71.02595211,0,2.447399727,-0.385004734,6.824290952,0,-16.51648423
Nuevo Leon,39.43735119,1,-4.431077681,-0.264770151,15.19590242,0,-16.07679801
Nuevo Leon,26.7549974,0,3.239961606,2.883874418,15.14154798,0,18.85793757
Nuevo Leon,66.34059105,0,2.944161993,1.400750076,17.9867555,0,-3.103353087
Nuevo Leon,36.19381926,1,2.115834211,-1.84416724,18.28352378,0,-2.381670762
Nuevo Leon,62.32291084,1,-0.839311464,2.109966668,13.84915943,0,1.285249542
Nuevo Leon,97.19880202,0,2.793770328,3.602043381,9.008614448,0,-15.34999542
Nuevo Leon,89.71240815,0,1.613411255,2.690101532,7.832860666,0,-8.87394481
Nuevo Leon,43.5543335,0,1.839874765,-0.788228626,14.85085009,0,-16.31059363
Nuevo Leon,32.99659458,1,0.973276982,-0.188916948,18.41291353,0,-1.853964809
Nuevo Leon,100,0,-0.131449899,11.43391767,9.558132504,0,-18.81936367
Nuevo Leon,54.61022454,0,5.619421825,-0.261963621,11.95855415,0,23.37150124
Nuevo Leon,57.97676327,0,-3.471687726,0.873723236,7.287268028,0,16.91651574
Nuevo Leon,80.71331209,0,0.381012409,1.610805757,4.690203448,0,-3.426938007
Nuevo Leon,40.98351675,0,-1.206710091,-0.04923652,19.82369811,0,3.53489667
Nuevo Leon,59.66234173,0,-0.833777663,-1.034205781,8.922973869,0,10.3660531
Nuevo Leon,46.88983598,1,0.671601009,2.382852749,9.559634313,0,3.229290308
Nuevo Leon,44.03620948,0,10.26261276,-0.312485992,8.320367046,0,9.776292433
Nuevo Leon,95.49299108,0,-2.274044362,7.008253572,6.604542768,0,-35.24284265
